# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	246674
#@/user_id	b6ca52f1-d1be-4cc2-9d07-aa8b3716d1d6
a 	吖	c=1 d=3.14571e-306 t=246674
yi xie 	一些	c=123 d=0.226502 t=246674
yi xie 	一寫	c=1 d=1.78643e-267 t=246674
yi xie ji chu 	一些基礎	c=1 d=1.64509e-121 t=246674
yi xie shu ju 	一些數據	c=1 d=1 t=143286
yi xin 	一心	c=0 d=1.02931e-223 t=246674
yi xing 	異形	c=3 d=8.6435e-80 t=246674
yi xing qi 	一星期	c=1 d=1 t=244562
yi xiu fu 	已修復	c=1 d=1.58402e-29 t=246674
yi xiu gai 	已修改	c=1 d=6.34947e-69 t=246674
yi xue qi 	一學期	c=3 d=2.44244e-95 t=246674
yi yan 	一眼	c=11 d=1.18311e-11 t=246674
yi yan nan jin 	一言难尽	c=1 d=2.53291e-257 t=246674
yi yang 	一樣	c=150 d=0.0166561 t=246674
yi yang de 	一樣的	c=1 d=1 t=243607
yi yao ya 	一咬牙	c=1 d=8.92313e-131 t=246674
yi ye 	一葉	c=4 d=2.93696e-169 t=246674
yi ye 	一頁	c=3 d=9.18014e-25 t=246674
yi ye 	肄業	c=1 d=1.23058e-88 t=246674
yi yi 	一一	c=2 d=2.80509e-106 t=246674
yi yi 	意義	c=32 d=0.00090852 t=246674
yi yi 	異議	c=1 d=3.42509e-72 t=246674
yi yi ge 	以一個	c=1 d=1.02415e-251 t=246674
yi yi jie jue 	一一解決	c=1 d=1 t=197477
yi yi mian guan 	一一麪館	c=1 d=2.81915e-105 t=246674
yi yin 	意淫	c=2 d=1 t=209970
yi yong 	一用	c=1 d=1 t=232670
yi yong 	易用	c=2 d=0.752014 t=246674
yi you 	一有	c=1 d=2.89704e-249 t=246674
yi you 	已有	c=3 d=1.18927e-98 t=246674
yi yu 	抑鬱	c=6 d=8.84637e-103 t=246674
yi yu 	益於	c=0 d=0.1 t=142707
yi yu zheng 	抑鬱症	c=2 d=5.47657e-35 t=246674
yi yuan 	一員	c=3 d=1.18452 t=230929
yi yuan 	意願	c=1 d=2.73554e-45 t=246674
yi yuan zheng 	壹圓整	c=1 d=3.09782e-302 t=246674
yi zang 	胰臟	c=1 d=1.04401e-183 t=246674
yi zhang 	一張	c=23 d=9.38964e-19 t=246674
yi zhang biao 	一張表	c=1 d=1 t=159487
yi zhang biao zhong 	一張表中	c=1 d=1 t=150944
yi zhang ka 	一張卡	c=1 d=4.67576e-175 t=246674
yi zhao 	依照	c=2 d=1 t=168036
yi zhe 	依着	c=0 d=0.1 t=210053
yi zhe ni 	依着你	c=1 d=1 t=210054
yi zhe zhong 	以這種	c=1 d=1 t=151941
yi zheng 	一整	c=0 d=0.1 t=203539
yi zheng ge 	一整個	c=1 d=5.03344e-248 t=246674
yi zheng hang 	一整行	c=1 d=1 t=203540
yi zheng tao 	一整套	c=2 d=1.38037e-94 t=246674
yi zhi 	一直	c=123 d=0.00422048 t=246674
yi zhi 	一致	c=14 d=3.08924e-05 t=246674
yi zhi 	一隻	c=23 d=1.45648e-12 t=246674
yi zhi 	已知	c=15 d=3.0254e-24 t=246674
yi zhi 	抑制	c=4 d=1.50722 t=161895
yi zhi 	移植	c=2 d=6.22206e-87 t=246674
yi zhi bao chi 	一直保持	c=1 d=1 t=197640
yi zhi dao xian zai 	一直到現在	c=1 d=1 t=234129
yi zhi de 	已知的	c=1 d=1 t=150936
yi zhi ding 	已指定	c=1 d=9.68144e-120 t=246674
yi zhi dou yao 	一直都要	c=1 d=3.25132e-224 t=246674
yi zhi dou zai 	一直都在	c=1 d=2.27942e-193 t=246674
yi zhi gou 	一隻狗	c=1 d=1 t=172868
yi zhi ruan 	一直軟	c=1 d=1 t=245993
yi zhi xiang 	已知項	c=1 d=1 t=146709
yi zhi xing 	一致性	c=2 d=1.90937 t=183419
yi zhi yi lai 	一直以來	c=2 d=1.31229e-109 t=246674
yi zhi yu 	以至於	c=5 d=6.19521e-15 t=246674
yi zhi zhao 	一直找	c=1 d=1 t=242908
yi zhong 	一種	c=70 d=0.515956 t=246674
yi zhong 	異種	c=2 d=8.33067e-205 t=246674
yi zhong xuan ze 	一種選擇	c=0 d=0.1 t=148391
yi zhou 	一週	c=1 d=3.694e-167 t=246674
yi zhuang 	翼裝	c=1 d=2.16404e-82 t=246674
yi zhuo 	衣着	c=1 d=1 t=166765
yi zu 	一族	c=0 d=0.1 t=191821
yi zu 	一組	c=5 d=1.3456e-51 t=246674
yi zu cao zuo 	一族操作	c=1 d=1 t=191822
yin 	印	c=2 d=2.09003e-55 t=246674
yin 	因	c=7 d=2.77508e-08 t=246674
yin 	銀	c=2 d=6.86638e-78 t=246674
yin 	隱	c=1 d=1.92989e-264 t=246674
yin 	音	c=5 d=6.51887e-114 t=246674
yin can 	隱鰺	c=1 d=1.27963e-136 t=246674
yin cang 	隱藏	c=32 d=6.46415e-36 t=246674
yin chen 	陰沉	c=1 d=8.26685e-144 t=246674
yin ci 	因此	c=31 d=3.25133e-07 t=246674
yin dao 	引導	c=4 d=2.96536 t=230512
yin du ni xi ya 	印度尼西亞	c=1 d=7.32657e-194 t=246674
yin fa 	引發	c=2 d=1.09027 t=209614
yin han 	隱含	c=4 d=1.2865 t=159751
yin hang 	銀行	c=29 d=6.46492e-09 t=246674
yin hang jia 	銀行家	c=1 d=1 t=200793
yin hang ka 	銀行卡	c=1 d=1 t=230697
yin hao 	引號	c=25 d=1.78224e-32 t=246674
yin he 	銀河	c=1 d=1 t=215682
yin hu 	陰戶	c=1 d=3.8651e-229 t=246674
yin huan 	隱患	c=2 d=1 t=230542
yin lian 	銀聯	c=1 d=1.19199e-213 t=246674
yin liang 	音量	c=6 d=2.25791e-169 t=246674
yin liang xiao 	音量小	c=1 d=8.70995e-170 t=246674
yin liao 	飲料	c=4 d=2.53874e-49 t=246674
yin liu 	引流	c=1 d=9.62762e-172 t=246674
yin pin 	音頻	c=6 d=7.84979e-182 t=246674
yin qi 	引起	c=13 d=5.44554e-27 t=246674
yin qing 	引擎	c=20 d=0.00246639 t=246674
yin ru 	引入	c=38 d=7.75551e-40 t=246674
yin se 	音色	c=23 d=7.98387e-146 t=246674
yin shi 	隱式	c=4 d=4.82155e-07 t=246674
yin shi 	隱示	c=1 d=6.00987e-40 t=246674
yin si 	隱私	c=10 d=8.68443e-18 t=246674
yin si fa 	因四法	c=1 d=1 t=182551
yin su 	因素	c=2 d=8.34479e-78 t=246674
yin wei 	因爲	c=333 d=0.123102 t=246674
yin wei zhao ji 	因爲着急	c=1 d=1 t=174982
yin xian 	銀線	c=2 d=1.35372e-258 t=246674
yin xiang 	印象	c=9 d=3.3012e-21 t=246674
yin xiang zhong 	印象中	c=3 d=1.38037e-57 t=246674
yin xing 	隱形	c=2 d=1.40132e-138 t=246674
yin xing 	隱性	c=1 d=1 t=155498
yin xing 	音型	c=0 d=2.44236e-124 t=246674
yin xing 	音形	c=9 d=4.52926 t=246674
yin yi 	音譯	c=2 d=0.0238732 t=246674
yin yong 	引用	c=170 d=1.66604e-27 t=246674
yin yong lian 	引用鏈	c=1 d=4.92214e-44 t=246674
yin yue 	音樂	c=46 d=0.109701 t=246674
yin zhou 	銀軸	c=1 d=1 t=207664
yin zhun 	音准	c=6 d=1.37035e-168 t=246674
yin zi 	因子	c=3 d=1 t=205529
ying 	影	c=0 d=6.21487e-112 t=246674
ying 	應	c=18 d=0.0335406 t=246674
ying 	營	c=2 d=1 t=223995
ying 	硬	c=2 d=1 t=235727
ying 	英	c=5 d=6.12073e-70 t=246674
ying 	蠅	c=1 d=2.71478e-73 t=246674
ying 	贏	c=5 d=5.91335e-26 t=246674
ying 	鷹	c=1 d=1 t=237849
ying bi 	硬幣	c=8 d=1.86063e-74 t=246674
ying bian 	應變	c=5 d=1.08781 t=197435
ying bian ma 	硬編碼	c=3 d=1 t=234818
ying da 	應答	c=6 d=0.1 t=245702
ying dang 	應當	c=4 d=1.00392e-47 t=246674
ying dang zai 	應當在	c=1 d=1 t=146256
ying de 	贏得	c=1 d=1 t=162587
ying dui 	應對	c=2 d=5.51076e-20 t=246674
ying gai 	應該	c=274 d=1.14173 t=246674
ying gai bu shi 	應該不是	c=1 d=1 t=192039
ying gai jiu xing 	應該就行	c=1 d=1.13456e-279 t=246674
ying gai neng 	應該能	c=1 d=1 t=207371
ying gai shi 	應該是	c=83 d=0.855357 t=246674
ying gai yong 	應該用	c=2 d=2.38784e-269 t=246674
ying gai you 	應該有	c=2 d=1 t=225030
ying gen 	應跟	c=1 d=4.21086e-237 t=246674
ying guo 	英國	c=1 d=1.07065e-09 t=246674
ying hang 	英航	c=1 d=5.0305e-153 t=246674
ying hao 	英豪	c=1 d=1 t=193762
ying hua 	櫻花	c=3 d=9.1391e-177 t=246674
ying hua 	硬化	c=1 d=1.0847e-221 t=246674
ying hua 	英華	c=5 d=5.17258e-69 t=246674
ying ji 	應急	c=4 d=8.67325e-16 t=246674
ying ji dian 	應急電	c=1 d=1.96719e-107 t=246674
ying ji ying bian 	應急應變	c=2 d=1.22764 t=197706
ying jian 	硬件	c=6 d=1.04834e-26 t=246674
ying jie bi ye sheng 	應屆畢業生	c=1 d=1 t=236775
ying jie sheng 	應屆生	c=5 d=1.99082 t=238069
ying le 	硬了	c=1 d=1 t=218594
ying li 	盈利	c=1 d=1 t=173403
ying lian jie 	硬鏈接	c=2 d=1.00001 t=204113
ying pan 	硬盤	c=11 d=5.38202e-36 t=246674
ying pin 	應聘	c=1 d=1 t=234187
ying ren er jie 	迎刃而解	c=1 d=1 t=197961
ying she 	映射	c=53 d=0.00315324 t=246674
ying she biao 	映射表	c=2 d=1 t=171597
ying she cheng 	映射成	c=1 d=9.73163e-122 t=246674
ying she dao 	映射到	c=1 d=1 t=162148
ying she guan xi 	映射關係	c=1 d=9.56525e-125 t=246674
ying she qi 	映射器	c=1 d=5.86292e-131 t=246674
ying she wen jian 	映射文件	c=2 d=3.58189e-128 t=246674
ying shi zuo pin 	影視作品	c=1 d=1 t=220789
ying si wu bi 	营私舞弊	c=1 d=1 t=175116
ying tao 	櫻桃	c=3 d=4.71797e-48 t=246674
ying tu 	鷹圖	c=1 d=1 t=238325
ying wei 	應爲	c=5 d=5.99849e-194 t=246674
ying wen 	英文	c=83 d=0.0720821 t=246674
ying wen ge 	英文歌	c=1 d=1 t=168211
ying wen li 	英文裏	c=1 d=1 t=148642
ying wen ming 	英文名	c=3 d=1.01343e-98 t=246674
ying wen zhong 	英文中	c=1 d=1 t=209067
ying xiang 	影響	c=60 d=6.50737e-05 t=246674
ying xiang 	映像	c=3 d=1.2662e-12 t=246674
ying xiang li 	影響力	c=3 d=1 t=193426
ying xiang mian 	影響麪	c=1 d=1 t=174552
ying xiao 	營銷	c=1 d=5.33685e-172 t=246674
ying xiao hao 	營銷號	c=5 d=4.75737 t=158127
ying xiao hao shi zhe yang de 	營銷號是這樣的	c=1 d=1 t=158111
ying xin 	迎新	c=5 d=1.35512e-33 t=246674
ying xiong 	英雄	c=9 d=5.90492e-68 t=246674
ying xiong lian meng 	英雄聯盟	c=2 d=5.65471e-88 t=246674
ying ye 	營業	c=1 d=8.87201e-181 t=246674
ying ye ting 	營業廳	c=19 d=3.25149e-92 t=246674
ying yi 	應以	c=1 d=1 t=182677
ying ying 	嚶嚶	c=1 d=4.51878e-185 t=246674
ying yong 	應用	c=129 d=0.854387 t=246674
ying yong 	英勇	c=1 d=0.606531 t=246674
ying yong ceng 	應用層	c=6 d=6.86193e-41 t=246674
ying yong chang jing 	應用場景	c=1 d=0.551563 t=246674
ying yong cheng shi 	應用程式	c=1 d=1 t=170856
ying yong cheng xu 	應用程序	c=2 d=2.3721e-15 t=246674
ying yong cheng xu dai ma 	應用程序代碼	c=1 d=2.9749e-120 t=246674
ying yong ti gong 	應用提供	c=1 d=3.72744e-126 t=246674
ying yong yu 	應用於	c=1 d=1 t=191819
ying yong yun wei 	應用運維	c=1 d=1 t=215992
ying you 	應有	c=2 d=8.71291e-174 t=246674
ying you 	應由	c=1 d=1 t=170860
ying yu 	英語	c=41 d=4.67826e-05 t=246674
ying yu ke 	英語課	c=1 d=4.10856e-183 t=246674
ying yu li 	英語裏	c=1 d=8.58995e-242 t=246674
ying zao 	營造	c=1 d=1 t=167459
ying zhe 	應着	c=0 d=3.6748e-48 t=246674
yo 	喲	c=1 d=2.62394e-290 t=246674
yo ge 	喲個	c=1 d=2.23657e-205 t=246674
yo wei 	喲爲	c=1 d=1 t=144658
yo xi 	喲西	c=3 d=1.19744e-296 t=246674
yong 	勇	c=0 d=2.42489e-69 t=246674
yong 	永	c=1 d=9.68835e-99 t=246674
yong 	泳	c=1 d=4.08207e-107 t=246674
yong 	用	c=950 d=0.167255 t=246674
yong ben di 	用本地	c=1 d=1 t=245424
yong bu 	用不	c=6 d=8.14239e-142 t=246674
yong bu dao 	用不到	c=6 d=2.56557e-55 t=246674
yong bu guan 	用不慣	c=1 d=3.59667e-147 t=246674
yong bu hao 	用不好	c=1 d=2.05802e-138 t=246674
yong bu liao 	用不了	c=14 d=0.000921047 t=246674
yong bu qi 	用不起	c=2 d=1.29636e-83 t=246674
yong bu shang 	用不上	c=2 d=3.32556e-78 t=246674
yong bu shu fu 	用不舒服	c=1 d=8.11446e-131 t=246674
yong bu yong 	用不用	c=2 d=1.74007e-193 t=246674
yong bu zhao 	用不着	c=2 d=2.98727e-110 t=246674
yong cha jian 	用插件	c=1 d=1.37246e-107 t=246674
yong chu 	用處	c=12 d=2.97902e-40 t=246674
yong ci 	用詞	c=1 d=4.59206e-139 t=246674
yong cuo 	用錯	c=1 d=1 t=220713
yong dai ma 	用代碼	c=1 d=3.44753e-90 t=246674
yong dao 	用到	c=57 d=0.0127549 t=246674
yong dao le 	用到了	c=3 d=9.58278e-29 t=246674
yong de 	用得	c=4 d=0.0146415 t=246674
yong de 	用的	c=89 d=0.00536988 t=246674
yong de shi 	用的是	c=1 d=1 t=149543
yong dei 	用得	c=3 d=2.077e-100 t=246674
yong dei dao 	用得到	c=1 d=2.08741e-99 t=246674
yong dian 	用點	c=2 d=2.32474e-13 t=246674
yong dian li 	用點力	c=1 d=4.42611e-59 t=246674
yong dian nao 	用電腦	c=1 d=3.92405e-260 t=246674
yong dian xin 	用點心	c=1 d=7.42411e-85 t=246674
yong du 	擁堵	c=1 d=1 t=163805
yong duo le 	用多了	c=1 d=1 t=187234
yong duo shao 	用多少	c=1 d=2.64741e-189 t=246674
yong fa 	用法	c=26 d=2.07755e-14 t=246674
yong fu 	用富	c=1 d=9.86503e-282 t=246674
yong guang 	用光	c=3 d=1.98696e-107 t=246674
yong guo 	用過	c=22 d=8.96292e-07 t=246674
yong guo de 	用過的	c=1 d=4.64118e-29 t=246674
yong heng 	永恆	c=1 d=1.66701e-160 t=246674
yong heng zhi lan 	永恆之藍	c=2 d=1.00008 t=175450
yong hu 	擁護	c=1 d=6.85177e-288 t=246674
yong hu 	用戶	c=302 d=0.825985 t=246674
yong hu duan 	用戶端	c=2 d=3.36942e-26 t=246674
yong hu huo zhe 	用戶或者	c=1 d=1 t=169368
yong hu lie biao 	用戶列表	c=1 d=2.86898e-164 t=246674
yong hu mi ma 	用戶密碼	c=1 d=0.1 t=174584
yong hu ming 	用戶名	c=24 d=1.45722e-18 t=246674
yong hu ming cheng 	用戶名稱	c=1 d=1.21306e-272 t=246674
yong hu ren zheng 	用戶認證	c=1 d=5.24289e-22 t=246674
yong hu she bei 	用戶設備	c=1 d=1 t=149681
yong hu shu 	用戶數	c=1 d=4.49471e-181 t=246674
yong hu shu ju 	用戶數據	c=1 d=1 t=174638
yong hu shu liang duo 	用戶數量多	c=1 d=1.15408e-127 t=246674
yong hu zhong duan 	用戶終端	c=1 d=1 t=157595
yong hu zu 	用戶組	c=2 d=1 t=205829
yong jian dao 	用剪刀	c=1 d=4.16835e-59 t=246674
yong jiao bu 	用膠布	c=2 d=8.47962e-57 t=246674
yong jie kou 	用接口	c=1 d=3.63452e-35 t=246674
yong jiu 	永久	c=7 d=2.73423e-10 t=246674
yong lai 	用來	c=52 d=0.0137375 t=246674
yong lai jie jue 	用來解決	c=1 d=1 t=149912
yong lai zai yun xing shi gei yi ge lei sheng ming 	用來在運行是給一個類聲明	c=1 d=8.65647e-127 t=246674
yong le 	用了	c=36 d=0.00927901 t=246674
yong li 	用例	c=2 d=1.15121e-31 t=246674
yong li 	用力	c=1 d=1.36311e-56 t=246674
yong ne 	用呢	c=1 d=3.51359e-78 t=246674
yong ni 	用你	c=1 d=1.45159e-90 t=246674
yong ni de 	用你的	c=1 d=3.93899e-99 t=246674
yong qi lai 	用起來	c=6 d=2.36985e-92 t=246674
yong qi ta 	用其他	c=2 d=4.29648e-121 t=246674
yong se 	擁塞	c=27 d=1.98511 t=172044
yong se kong zhi 	擁塞控制	c=2 d=1 t=167726
yong sha 	用啥	c=7 d=7.86284e-84 t=246674
yong shang 	用上	c=5 d=5.19409e-60 t=246674
yong shen me 	用什麼	c=11 d=0.00396599 t=246674
yong shi 	勇士	c=1 d=2.20325e-58 t=246674
yong shou 	用手	c=1 d=4.36021e-59 t=246674
yong shui 	用誰	c=1 d=9.4736e-100 t=246674
yong tu 	用途	c=7 d=5.73059e-39 t=246674
yong wan 	用完	c=2 d=7.1851e-53 t=246674
yong wang xian 	用網線	c=1 d=1 t=237607
yong wo ma 	用我媽	c=1 d=3.24503e-260 t=246674
yong wu zhi di 	用武之地	c=1 d=1 t=196048
yong yang 	永陽	c=1 d=4.91696e-61 t=246674
yong yang shi 	用樣式	c=1 d=1 t=177013
yong yi ge 	用一個	c=3 d=1 t=193686
yong yong 	用用	c=7 d=2.78143e-123 t=246674
yong you 	擁有	c=28 d=4.83274e-93 t=246674
yong you duo ge 	擁有多個	c=1 d=1 t=143596
yong you xiang 	用郵箱	c=2 d=8.22895e-90 t=246674
yong you zhe 	擁有者	c=3 d=7.05718e-69 t=246674
yong yu 	用於	c=233 d=1.17022e-05 t=246674
yong yu 	用語	c=1 d=1 t=153177
yong yu guo lv 	用於過濾	c=1 d=8.04844e-35 t=246674
yong yu lian jie bu tong 	用於連接不同	c=1 d=1.49073e-197 t=246674
yong yu qu fen 	用於區分	c=1 d=3.83915e-238 t=246674
yong yu que ren 	用於確認	c=1 d=1 t=150679
yong yuan 	永遠	c=16 d=7.2103e-06 t=246674
yong zai 	永在	c=1 d=1.55828e-189 t=246674
yong zai 	用在	c=10 d=5.00972e-35 t=246674
yong zhe 	用着	c=6 d=7.30014e-34 t=246674
yong zhe ge 	用這個	c=5 d=1.2178e-24 t=246674
yong zhe xie 	用這些	c=1 d=5.423e-37 t=246674
yong zhong wen 	用中文	c=2 d=2.08332e-114 t=246674
yong zi ji 	用自己	c=2 d=1.1758e-111 t=246674
yong zuo 	用作	c=14 d=8.79891e-25 t=246674
yong zuo fan hui 	用作返回	c=1 d=1 t=145075
you 	優	c=10 d=6.44585e-11 t=246674
you 	又	c=168 d=0.0236476 t=246674
you 	友	c=8 d=3.0181e-25 t=246674
you 	右	c=15 d=6.55643e-64 t=246674
you 	有	c=998 d=0.805723 t=246674
you 	油	c=3 d=3.39366e-131 t=246674
you 	由	c=93 d=0.0816756 t=246674
you 	遊	c=5 d=2.31794e-09 t=246674
you a 	有啊	c=5 d=1.388e-63 t=246674
you an quan 	有安全	c=1 d=1 t=194995
you ba 	又把	c=1 d=7.36276e-105 t=246674
you ban fa 	有辦法	c=1 d=7.4932e-282 t=246674
you bang zhu 	有幫助	c=1 d=1 t=144353
you bei 	又被	c=2 d=4.39189e-185 t=246674
you bei jing 	有背景	c=1 d=6.93213e-190 t=246674
you ben shi 	有本事	c=1 d=4.95665e-273 t=246674
you bi yao 	有必要	c=11 d=6.34349e-06 t=246674
you bian 	右邊	c=13 d=2.6047e-86 t=246674
you bian 	郵編	c=3 d=6.44324e-65 t=246674
you bian jie 	有邊界	c=1 d=1.80645e-16 t=246674
you biao 	遊標	c=1 d=9.81782e-255 t=246674
you bie yu 	有別於	c=1 d=2.38813e-06 t=246674
you bu cuo 	有不錯	c=1 d=4.2822e-170 t=246674
you bu ke neng 	有不可能	c=1 d=7.53253e-226 t=246674
you bu shi 	又不是	c=16 d=0.06191 t=246674
you bu xiang 	又不想	c=1 d=4.83572e-159 t=246674
you bu yi yang 	有不一樣	c=1 d=4.63802e-21 t=246674
you bu zuo 	有不做	c=1 d=1 t=185935
you can 	有參	c=1 d=4.41228e-81 t=246674
you ce 	右側	c=1 d=1.10053e-215 t=246674
you cha bie 	有差別	c=1 d=8.53713e-52 t=246674
you cha cuo 	有差錯	c=1 d=1 t=163419
you cha jian 	有插件	c=1 d=3.66582e-77 t=246674
you cha yi 	有差異	c=1 d=1 t=172614
you cheng 	又稱	c=5 d=4.12717e-39 t=246674
you cheng guo 	有成果	c=1 d=1 t=241730
you chong xin 	又重新	c=1 d=3.97871e-70 t=246674
you chu 	又出	c=1 d=0.0053397 t=246674
you chu fa 	有出發	c=1 d=1 t=166189
you chu lai 	又出來	c=1 d=1 t=239498
you chu na li 	又出哪裏	c=1 d=0.0536647 t=246674
you ci 	有次	c=3 d=5.79687e-86 t=246674
you cong 	又從	c=1 d=1.02105e-186 t=246674
you cuo wu 	有錯誤	c=2 d=1.12265e-155 t=246674
you da lao 	有大佬	c=2 d=1.48734e-229 t=246674
you dai 	有待	c=0 d=3.12348e-18 t=246674
you dai chu li 	有待處理	c=1 d=3.13913e-17 t=246674
you dai ma 	有代碼	c=1 d=1 t=181807
you dao 	有道	c=4 d=1.11534e-137 t=246674
you dao fan yi 	有道翻譯	c=1 d=2.14793e-288 t=246674
you dao li 	有道理	c=5 d=2.89818e-48 t=246674
you de 	又得	c=1 d=1 t=241206
you de 	有得	c=1 d=1 t=239940
you de 	有的	c=15 d=2.11607e-16 t=246674
you de ren 	有的人	c=1 d=2.73714e-140 t=246674
you di 	有地	c=1 d=7.43447e-72 t=246674
you di fang 	有地方	c=1 d=2.66323e-259 t=246674
you dian 	優點	c=50 d=8.23952e-05 t=246674
you dian 	有電	c=2 d=6.45715e-259 t=246674
you dian 	有點	c=214 d=0.515528 t=246674
you dian cha 	有點差	c=1 d=9.43598e-112 t=246674
you dian da 	有點大	c=2 d=5.27118e-144 t=246674
you dian duo 	有點多	c=2 d=1.12307e-130 t=246674
you dian gao 	有點高	c=3 d=1.40296e-189 t=246674
you dian guai 	有點怪	c=1 d=1 t=177129
you dian ji 	有點擠	c=1 d=8.50585e-97 t=246674
you dian ka 	有點卡	c=1 d=1.61428e-222 t=246674
you dian lan 	有點爛	c=1 d=3.39425e-142 t=246674
you dian leng 	有點冷	c=1 d=1.20547e-23 t=246674
you dian meng 	有點懵	c=1 d=1 t=225135
you dian shao 	有點少	c=1 d=1 t=171752
you dian shi 	有點事	c=2 d=3.68811e-207 t=246674
you dian wan 	有點晚	c=2 d=3.67345e-152 t=246674
you dian xiang 	有點像	c=2 d=4.78272e-147 t=246674
you dian xiao 	有點小	c=1 d=1.57572e-261 t=246674
you dian yuan 	有點遠	c=2 d=3.52006e-129 t=246674
you diao 	有掉	c=1 d=1 t=172291
you dong 	遊動	c=1 d=1.51737e-82 t=246674
you dong xi 	有東西	c=1 d=1 t=246460
you dui ying 	有對應	c=1 d=1 t=183926
you duo 	有多	c=3 d=5.20487e-54 t=246674
you duo ge 	有多個	c=3 d=4.31403e-22 t=246674
you duo shao 	有多少	c=1 d=4.25549e-214 t=246674
you duo shao ge 	有多少個	c=1 d=1 t=243894
you duo shao ren 	有多少人	c=1 d=1 t=234565
you duo xiang 	有多像	c=1 d=4.40782e-216 t=246674
you duo zhong 	有多種	c=2 d=2.37049e-07 t=246674
you er 	誘餌	c=1 d=5.15292e-83 t=246674
you er yuan 	幼兒園	c=3 d=9.433e-140 t=246674
you fa xian 	有發現	c=1 d=6.0187e-116 t=246674
you fan chi 	有飯喫	c=1 d=1.25472e-140 t=246674
you fen 	又分	c=1 d=1 t=191487
you feng le 	又瘋了	c=1 d=1 t=174201
you fu wu qi 	有服務器	c=1 d=1 t=187566
you gai lv 	有概率	c=1 d=5.59999e-150 t=246674
you gan 	又幹	c=1 d=1 t=245952
you ge 	有個	c=96 d=0.228484 t=246674
you ge nan 	有個男	c=1 d=1.95823e-24 t=246674
you ge ren 	有個人	c=6 d=7.05557e-133 t=246674
you gei 	又給	c=1 d=2.38945e-130 t=246674
you gong si 	有公司	c=1 d=1 t=243188
you gong wang 	有公網	c=1 d=1 t=245150
you gong zuo 	有工作	c=1 d=1 t=195886
you guan 	有關	c=23 d=2.90578e-20 t=246674
you guan 	油管	c=2 d=7.9559e-46 t=246674
you guan dian 	有觀點	c=1 d=1 t=198804
you guan xi 	有關係	c=2 d=2.76859e-98 t=246674
you gui zhang 	有規章	c=1 d=1 t=216078
you guo 	有過	c=4 d=7.83879e-48 t=246674
you guo jia 	有國家	c=1 d=1.19946e-22 t=246674
you guo wai 	有國外	c=1 d=1.8682e-176 t=246674
you hao 	又好	c=0 d=0.1 t=195270
you hao 	友好	c=1 d=1.53654e-113 t=246674
you hao chu 	有好處	c=1 d=3.47471e-06 t=246674
you hao duo 	有好多	c=1 d=8.31334e-63 t=246674
you hao kan 	有好看	c=2 d=1.63445 t=172385
you hao you you 	又好又優	c=1 d=1 t=195271
you hao you you 	友好又有	c=1 d=1 t=195183
you he 	有何	c=2 d=9.56943e-42 t=246674
you hen da 	有很大	c=0 d=2.81445e-57 t=246674
you hen da yi bu fen 	有很大一部分	c=1 d=2.82855e-56 t=246674
you hen duo 	有很多	c=16 d=0.009786 t=246674
you heng xin 	有恆心	c=1 d=1 t=201610
you hua 	優化	c=130 d=0.0497916 t=246674
you hua le 	優化了	c=1 d=1 t=188925
you hui 	優惠	c=9 d=1.91782e-15 t=246674
you hui 	又會	c=3 d=5.98907e-58 t=246674
you hui jia 	優惠價	c=1 d=1 t=169882
you hui quan 	優惠券	c=1 d=1.54466e-174 t=246674
you huo 	誘惑	c=1 d=8.1638e-261 t=246674
you ji 	遊記	c=1 d=4.96062e-18 t=246674
you ji chu 	有基礎	c=1 d=4.84066e-171 t=246674
you ji ge 	有幾個	c=5 d=7.31957e-124 t=246674
you ji hang 	有幾行	c=1 d=5.68577e-123 t=246674
you ji hua 	有計劃	c=2 d=4.98549e-18 t=246674
you ji hui 	有機會	c=4 d=1.0081e-36 t=246674
you ji shu 	有技術	c=2 d=1 t=243090
you ji zhong 	有幾種	c=2 d=8.19288e-09 t=246674
you jia 	有家	c=4 d=2.48427e-10 t=246674
you jia hui lai 	又加回來	c=1 d=8.00149e-25 t=246674
you jia zhi 	有價值	c=1 d=1 t=202950
you jian 	右鍵	c=3 d=7.40425e-258 t=246674
you jian 	郵件	c=28 d=1.39427e-14 t=246674
you jiao cheng 	有教程	c=2 d=2.18453e-134 t=246674
you jie 	有界	c=1 d=8.72054e-08 t=246674
you jie guo 	有結果	c=1 d=3.42101e-58 t=246674
you jin du 	有進度	c=1 d=6.95712e-56 t=246674
you jing xiang 	有鏡像	c=1 d=1 t=198406
you jiu 	悠久	c=1 d=1 t=147900
you ka 	遊卡	c=2 d=1.99005 t=240919
you ka zhu 	又卡住	c=1 d=1 t=187162
you kai shi 	又開始	c=4 d=7.89284e-70 t=246674
you ke 	有客	c=0 d=2.75646e-18 t=246674
you ke 	有課	c=8 d=3.66083e-61 t=246674
you ke 	遊客	c=1 d=4.14632e-173 t=246674
you ke neng 	有可能	c=21 d=8.71641e-31 t=246674
you ke yi 	又可以	c=1 d=1.20486e-16 t=246674
you ke yong 	有客用	c=1 d=2.77027e-17 t=246674
you kong 	有空	c=31 d=1.14848e-11 t=246674
you kong bai 	有空白	c=1 d=1.14571e-12 t=246674
